CPU	 1	 0
CPU	 3	 0.016675
CPU	 5	 0
CPU	 7	 0
CPU	 9	 0
CPU	 11	 0
CPU	 13	 0
CPU	 15	 0
CPU	 17	 0
CPU	 19	 0.016675
CPU	 21	 0
CPU	 23	 0
CPU	 25	 0
CPU	 27	 0
CPU	 29	 0.016675
CPU	 31	 0
CPU	 33	 0
CPU	 35	 0
CPU	 37	 0.01665
CPU	 39	 0.016675
CPU	 41	 0.016675
CPU	 43	 0.016675
CPU	 45	 0.016675
CPU	 47	 0.01665
CPU	 49	 0.01665
IO	 0	 103.233
IO	 2	 103.283
IO	 4	 103.3
IO	 6	 103.4
IO	 8	 103.45
IO	 10	 103.483
IO	 12	 103.533
IO	 14	 103.55
IO	 16	 103.583
IO	 18	 103.6
IO	 20	 103.617
IO	 22	 103.617
IO	 24	 103.633
IO	 26	 103.633
IO	 28	 103.617
IO	 30	 103.633
IO	 32	 103.633
IO	 34	 103.617
IO	 36	 103.617
IO	 38	 103.583
IO	 40	 103.583
IO	 42	 103.567
IO	 44	 103.533
IO	 46	 103.5
IO	 48	 103.45
