CPU	 1	 0
CPU	 3	 0
CPU	 5	 0
CPU	 7	 0
CPU	 9	 0
CPU	 11	 0
CPU	 13	 0
CPU	 15	 0
CPU	 17	 0
CPU	 19	 0
CPU	 21	 0.016675
CPU	 23	 0
CPU	 25	 0
CPU	 27	 0
CPU	 29	 0
CPU	 31	 0.016675
CPU	 33	 0
CPU	 35	 0
CPU	 37	 0
CPU	 39	 0
CPU	 41	 0
CPU	 43	 0
CPU	 45	 0
CPU	 47	 0
CPU	 49	 0
IO	 0	 48.8833
IO	 2	 48.9
IO	 4	 48.9333
IO	 6	 48.9333
IO	 8	 48.95
IO	 10	 48.9667
IO	 12	 48.9667
IO	 14	 48.9833
IO	 16	 49
IO	 18	 49
IO	 20	 49
IO	 22	 49
IO	 24	 49.0167
IO	 26	 49
IO	 28	 49.0166
IO	 30	 49
IO	 32	 49
IO	 34	 48.9833
IO	 36	 48.9833
IO	 38	 48.9834
IO	 40	 48.9667
IO	 42	 48.95
IO	 44	 48.9333
IO	 46	 48.9167
IO	 48	 48.9
