CPU	 1	 0.016675
CPU	 3	 0
CPU	 5	 0
CPU	 7	 0
CPU	 9	 0
CPU	 11	 0.01665
CPU	 13	 0
CPU	 15	 0
CPU	 17	 0.016675
CPU	 19	 0
CPU	 21	 0
CPU	 23	 0
CPU	 25	 0
CPU	 27	 0
CPU	 29	 0.016675
CPU	 31	 0
CPU	 33	 0
CPU	 35	 0.01665
CPU	 37	 0
CPU	 39	 0.01665
CPU	 41	 0.016675
CPU	 43	 0.016675
CPU	 45	 0.016675
CPU	 47	 0
CPU	 49	 0.01665
CPU	 51	 0.033325
CPU	 53	 0.016675
CPU	 55	 0.016675
CPU	 57	 0.016675
CPU	 59	 0
CPU	 61	 0
CPU	 63	 0.01665
CPU	 65	 0.01665
CPU	 67	 0.033325
CPU	 69	 0.016675
CPU	 71	 0.016675
CPU	 73	 0
CPU	 75	 0.016675
CPU	 77	 0.016675
CPU	 79	 0.01665
CPU	 81	 0.03335
CPU	 83	 0.01665
CPU	 85	 0.03335
CPU	 87	 0.01665
CPU	 89	 0.016675
CPU	 91	 0.033325
CPU	 93	 0.033325
CPU	 95	 0.016675
CPU	 97	 0.033325
CPU	 99	 0.01665
IO	 0	 224.183
IO	 2	 224.25
IO	 4	 224.333
IO	 6	 224.433
IO	 8	 224.5
IO	 10	 224.583
IO	 12	 224.65
IO	 14	 224.733
IO	 16	 224.783
IO	 18	 224.833
IO	 20	 224.883
IO	 22	 224.95
IO	 24	 225
IO	 26	 225.067
IO	 28	 225.083
IO	 30	 225.133
IO	 32	 225.167
IO	 34	 225.2
IO	 36	 225.217
IO	 38	 225.233
IO	 40	 225.267
IO	 42	 225.3
IO	 44	 225.3
IO	 46	 225.3
IO	 48	 225.317
IO	 50	 225.333
IO	 52	 225.317
IO	 54	 225.317
IO	 56	 225.317
IO	 58	 225.317
IO	 60	 225.283
IO	 62	 225.267
IO	 64	 225.25
IO	 66	 225.183
IO	 68	 225.167
IO	 70	 225.15
IO	 72	 225.117
IO	 74	 225.067
IO	 76	 225.017
IO	 78	 224.967
IO	 80	 224.917
IO	 82	 224.85
IO	 84	 224.817
IO	 86	 224.75
IO	 88	 224.683
IO	 90	 224.633
IO	 92	 224.533
IO	 94	 224.45
IO	 96	 224.383
IO	 98	 224.3
