CPU	 1	 0
CPU	 3	 0
CPU	 5	 0
CPU	 7	 0
CPU	 9	 0.016675
CPU	 11	 0
CPU	 13	 0
CPU	 15	 0
CPU	 17	 0
CPU	 19	 0
CPU	 21	 0
CPU	 23	 0
CPU	 25	 0
CPU	 27	 0
CPU	 29	 0
CPU	 31	 0.033325
CPU	 33	 0
CPU	 35	 0
CPU	 37	 0.03335
CPU	 39	 0.016675
CPU	 41	 0.033325
CPU	 43	 0.01665
CPU	 45	 0
CPU	 47	 0.03335
CPU	 49	 0
CPU	 51	 0.016675
CPU	 53	 0.033325
CPU	 55	 0.01665
CPU	 57	 0.033325
CPU	 59	 0.03335
CPU	 61	 0.066675
CPU	 63	 0.05
CPU	 65	 0.03335
CPU	 67	 0.01665
CPU	 69	 0.03335
CPU	 71	 0.01665
CPU	 73	 0.033325
CPU	 75	 0.033325
CPU	 77	 0.033325
CPU	 79	 0.033325
CPU	 81	 0.03335
CPU	 83	 0.033325
CPU	 85	 0.05
CPU	 87	 0.05
CPU	 89	 0.05
CPU	 91	 0.033325
CPU	 93	 0.033325
CPU	 95	 0.066675
CPU	 97	 0.05
CPU	 99	 0.05
IO	 0	 278.683
IO	 2	 278.817
IO	 4	 278.95
IO	 6	 279.1
IO	 8	 279.217
IO	 10	 279.333
IO	 12	 279.45
IO	 14	 279.533
IO	 16	 279.617
IO	 18	 279.733
IO	 20	 279.817
IO	 22	 279.9
IO	 24	 279.95
IO	 26	 280.033
IO	 28	 280.1
IO	 30	 280.15
IO	 32	 280.2
IO	 34	 280.25
IO	 36	 280.283
IO	 38	 280.333
IO	 40	 280.367
IO	 42	 280.383
IO	 44	 280.433
IO	 46	 280.417
IO	 48	 280.433
IO	 50	 280.433
IO	 52	 280.45
IO	 54	 280.45
IO	 56	 280.433
IO	 58	 280.433
IO	 60	 280.4
IO	 62	 280.383
IO	 64	 280.35
IO	 66	 280.333
IO	 68	 280.283
IO	 70	 280.267
IO	 72	 280.217
IO	 74	 280.183
IO	 76	 280.133
IO	 78	 280.1
IO	 80	 280.05
IO	 82	 279.967
IO	 84	 279.9
IO	 86	 279.817
IO	 88	 279.75
IO	 90	 279.667
IO	 92	 279.6
IO	 94	 279.5
IO	 96	 279.417
IO	 98	 279.317
