CPU	 1	 0.033325
CPU	 3	 0.03335
CPU	 5	 0.05
CPU	 7	 0.033325
CPU	 9	 0.033325
CPU	 11	 0.033325
CPU	 13	 0.03335
CPU	 15	 0.03335
CPU	 17	 0.05
CPU	 19	 0.03335
CPU	 21	 0.03335
CPU	 23	 0.03335
CPU	 25	 0.03335
CPU	 27	 0.05
CPU	 29	 0.016675
CPU	 31	 0.05
CPU	 33	 0.033325
CPU	 35	 0.033325
CPU	 37	 0.05
CPU	 39	 0.05
CPU	 41	 0.05
CPU	 43	 0.03335
CPU	 45	 0.033325
CPU	 47	 0.033325
CPU	 49	 0.05
IO	 12	 4960.13
IO	 32	 4960.33
IO	 22	 4963.47
IO	 44	 4963
IO	 10	 4964.03
IO	 18	 4963.98
IO	 24	 4964.97
IO	 28	 4965.25
IO	 2	 4965.9
IO	 20	 4965.7
IO	 42	 4965.32
IO	 40	 4965.5
IO	 4	 4966.67
IO	 14	 4966.72
IO	 8	 4967.05
IO	 34	 4966.42
IO	 0	 4967.35
IO	 6	 4967.55
IO	 46	 4966.5
IO	 38	 4966.83
IO	 30	 4967.17
IO	 36	 4967
IO	 26	 4967.33
IO	 16	 4967.65
IO	 48	 4966.82
